"","sub","condition","type","old","response","correct","time"
"3592",14876,"hehe","hetero",1,1,1,6531
"3593",14876,"hehe","hetero",1,1,1,1140
"3594",14876,"hehe","hetero",2,1,0,2688
"3595",14876,"hehe","hetero",1,1,1,984
"3596",14876,"hehe","hetero",2,2,1,1531
"3597",14876,"hehe","hetero",2,2,1,2672
"3598",14876,"hehe","hetero",1,1,1,1969
"3599",14876,"hehe","hetero",1,1,1,2719
"3600",14876,"hehe","hetero",1,1,1,1937
"3841",16368,"hehe","hetero",1,2,0,2281
"3842",16368,"hehe","hetero",2,2,1,1312
"3843",16368,"hehe","hetero",1,1,1,859
"3844",16368,"hehe","hetero",1,1,1,1203
"3845",16368,"hehe","hetero",2,2,1,1125
"3846",16368,"hehe","hetero",2,1,0,4203
"3847",16368,"hehe","hetero",2,2,1,1234
"3848",16368,"hehe","hetero",2,2,1,1000
"3849",16368,"hehe","hetero",2,2,1,1157
"3850",16368,"hehe","hetero",2,2,1,2172
"3851",16368,"hehe","hetero",2,2,1,1297
"3852",16368,"hehe","hetero",1,1,1,1625
