SubID;setno;condition;testorder;word;respond;wordtype;answertype;correct;RT;datatype;dataoldnew
201;2;LF;103;HIRÃ‡INLIK;k;old;new;0;0.583;lab;eski
201;2;LF;104;HAYTA;k;new;new;1;0.991;lab;eski
201;2;LF;105;KARGO;d;new;old;0;1.039;lab;eski
201;2;LF;106;HORULTU;d;old;old;1;0.679;lab;eski
201;2;LF;107;YAMA;k;new;new;1;0.711;lab;eski
201;2;LF;108;PÄ°DE;d;old;old;1;0.662;lab;eski
201;2;LF;109;BRÃœT;d;old;old;1;0.615;lab;eski
201;2;LF;110;TEKE;d;new;old;0;0.599;lab;eski
201;2;LF;111;RADYUM;k;old;new;0;0.647;lab;eski
201;2;LF;112;NAKAVT;k;old;new;0;0.791;lab;eski
201;2;LF;113;BOZA;d;new;old;0;0.576;lab;eski
201;2;LF;114;Ã–NCÃœLÃœK;d;new;old;0;0.774;lab;eski
201;2;LF;115;TERSLÄ°K;k;new;new;1;0.59;lab;eski
201;2;LF;116;PÄ°RE;k;new;new;1;0.687;lab;eski
201;2;LF;117;HOÅNUT;d;old;old;1;0.631;lab;eski
201;2;LF;118;SIÄLIK;k;old;new;0;0.807;lab;eski
201;2;LF;119;PATEN;k;new;new;1;0.815;lab;eski
201;2;LF;120;OLAYLI;d;old;old;1;0.639;lab;eski
201;2;LF;121;PENSE;k;old;new;0;0.567;lab;eski
201;2;LF;122;MUAF;k;new;new;1;0.695;lab;eski
201;2;LF;123;GADDAR;k;new;new;1;0.823;lab;eski
201;2;LF;124;Ã–TÃœCÃœ;k;old;new;0;0.719;lab;eski
201;2;LF;125;KÃœLOT;d;old;old;1;0.631;lab;eski
201;2;LF;126;BAÅIBOÅ;k;new;new;1;0.662;lab;eski
201;2;LF;127;KAMBUR;k;old;new;0;0.75;lab;eski
201;2;LF;128;FAZLALIK;k;old;new;0;1.447;lab;eski
201;2;LF;129;KUYUMCU;d;old;old;1;0.623;lab;eski
201;2;LF;130;Ä°HMAL;d;new;old;0;1.183;lab;eski
201;2;LF;131;TERAZÄ°;k;new;new;1;0.823;lab;eski
201;2;LF;132;MUSON;k;new;new;1;0.631;lab;eski
201;2;LF;133;AJAN;k;new;new;1;0.758;lab;eski
201;2;LF;134;MAYIN;k;new;new;1;0.855;lab;eski
201;2;LF;135;SANDIK;d;old;old;1;0.695;lab;eski
201;2;LF;136;ANARÅÄ°ST;k;new;new;1;0.574;lab;eski
201;2;LF;137;AZÄ°M;k;new;new;1;0.863;lab;eski
201;2;LF;138;FOBÄ°;k;new;new;1;0.56;lab;eski
201;2;LF;139;Ã‡EHRE;d;old;old;1;0.712;lab;eski
201;2;LF;140;SOYTARI;k;new;new;1;0.495;lab;eski
201;2;LF;141;TABURE;k;old;new;0;0.608;lab;eski
201;2;LF;142;TAKAT;d;old;old;1;0.68;lab;eski
201;2;LF;143;NEZLE;k;old;new;0;0.52;lab;eski
201;2;LF;144;SARSICI;d;new;old;0;1.264;lab;eski
201;2;LF;145;TIRTIK;k;old;new;0;0.583;lab;eski
201;2;LF;146;FÃœZE;k;new;new;1;0.743;lab;eski
201;2;LF;147;BERBER;k;new;new;1;0.662;lab;eski
201;2;LF;148;Ä°ÄDE;k;new;new;1;0.671;lab;eski
